L	M	σ	seed	order	n	η0	α	ApK	h0	γ	NpL	p	trust	tolerance	K	A	a0	N	fp	nfev
20	20000	0.01	0	1	64	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	1.6600000000000001	10	0.9686574534679286	19867
20	20000	0.01	0	2	64	0.1	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	0.8800000000000001	10	0.9578007801372187	20047
20	20000	0.01	0	1	1	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	628.9468492486766	10	0.7580960635062047	30001
20	20000	0.01	0	2	1	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	314.78758388969726	10	0.7762415161184413	25001
20	20000	0.01	0	1	4	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	157.70795121020763	10	0.8661306102704665	22501
20	20000	0.01	0	2	4	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	79.16813487046278	10	0.8575237148352337	21251
20	20000	0.01	0	1	16	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	39.89822670059037	10	0.9249114706684531	20626
20	20000	0.01	0	2	16	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	20.23185668911827	10	0.9552568413234768	20281
20	20000	0.01	0	1	64	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	10.430087609918115	10	0.9511973455543935	20125
20	20000	0.01	0	2	64	0.6283185307179586	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	5.529203070318037	10	0.9287014547785889	19790
20	20000	0.01	0	1	1	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	10000	1000.0	1001.0	10	0.7907523687536261	29998
20	20000	0.01	0	2	1	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	5000	500.0	501.0	10	0.7364540076178473	25001
20	20000	0.01	0	1	4	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	2500	250.0	251.0	10	0.8355776522879851	22501
20	20000	0.01	0	2	4	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	1250	125.0	126.0	10	0.9078518403352638	21251
20	20000	0.01	0	1	16	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	625	62.5	63.5	10	0.9175286516637251	20626
20	20000	0.01	0	2	16	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	312	31.200000000000003	32.2	10	0.8750795260450117	19371
20	20000	0.01	0	1	64	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	156	15.600000000000001	16.6	10	0.9465274794650975	20125
20	20000	0.01	0	2	64	1.0	1.0	0.1	0.2	0.101	0.5	0.5	1.0	0.02	78	7.800000000000001	8.8	10	0.9516983781519507	20047
20	20000	0.01	0	1	1	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	10000	5000.0	1.6859016140249046	10	0.8578203987222568	30001
20	20000	0.01	0	2	1	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	5000	2500.0	1.1108730796584116	10	0.8690115778156999	25001
20	20000	0.01	0	1	4	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	2500	1250.0	0.7320637470439325	10	0.9659792240196354	22501
20	20000	0.01	0	2	4	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	1250	625.0	0.48254492072625893	10	0.9405099642594271	21251
20	20000	0.01	0	1	16	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	625	312.5	0.3182255180711922	10	0.9836550918728917	20626
20	20000	0.01	0	2	16	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	312	156.0	0.2098609288600359	10	0.9445572603691387	20281
20	20000	0.01	0	1	64	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	156	78.0	0.13879426103102854	10	0.9913464901295646	20125
20	20000	0.01	0	2	64	0.01	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	78	39.0	0.09213828297446287	10	0.9712203976059528	20047
20	20000	0.01	0	1	1	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	10000	5000.0	16.859016140249047	10	0.7815964065137739	30001
20	20000	0.01	0	2	1	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	5000	2500.0	11.108730796584117	10	0.7666395948753305	25001
20	20000	0.01	0	1	4	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	2500	1250.0	7.320637470439326	10	0.8615761244962602	22501
20	20000	0.01	0	2	4	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	1250	625.0	4.82544920726259	10	0.8392536244786315	21251
20	20000	0.01	0	1	16	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	625	312.5	3.1822551807119224	10	0.9200136487641155	20626
20	20000	0.01	0	2	16	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	312	156.0	2.098609288600359	10	0.9195192772545977	20281
20	20000	0.01	0	1	64	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	156	78.0	1.3879426103102857	10	0.9801502165772354	20125
20	20000	0.01	0	2	64	0.1	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	78	39.0	0.9213828297446288	10	0.9530626751653472	20047
20	20000	0.01	0	1	1	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	10000	5000.0	105.9283225059163	10	1.2633525769827323	29647
20	20000	0.01	0	2	1	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	5000	2500.0	69.7982141225107	10	1.1021959582359633	24966
20	20000	0.01	0	1	4	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	2500	1250.0	45.9969217934527	10	1.1847511594241715	21961
20	20000	0.01	0	2	4	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	1250	625.0	30.319191559613685	10	1.007323717490322	20758
20	20000	0.01	0	1	16	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	625	312.5	19.994698995145267	10	0.9082436366678522	20626
20	20000	0.01	0	2	16	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	312	156.0	13.18595104764438	10	0.9907657722085979	19566
20	20000	0.01	0	1	64	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	156	78.0	8.720700616310069	10	0.9267268336369903	20125
20	20000	0.01	0	2	64	0.6283185307179586	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	78	39.0	5.789219058139001	10	0.9964038852867796	17477
20	20000	0.01	0	1	1	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	10000	5000.0	168.59016140249045	10	1.9549134088565796	29935
20	20000	0.01	0	2	1	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	5000	2500.0	111.08730796584116	10	1.313706784831457	24956
20	20000	0.01	0	1	4	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	2500	1250.0	73.20637470439326	10	0.9767883421586976	2998
20	20000	0.01	0	2	4	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	1250	625.0	48.254492072625894	10	1.0107092771905108	16117
20	20000	0.01	0	1	16	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	625	312.5	31.822551807119222	10	1.0316721390598518	19966
20	20000	0.01	0	2	16	1.0	0.602	0.5	0.2	0.101	0.5	0.5	1.0	0.02	312	156.0	20.98609288600359	10	1.0204151699482484	10596
